URL;TITLE;STATUSCODE;EMAILS
http://www.moodle.neumann-nordenham.de;... die Küste lernt online;404;
https://academy.afrogeek.fr;Accueil | AGA;404;info@afrogeek.fr
http://kurse.41campus.com;41 Campus - Ein Projekt der Dirk Nowitzki-Stiftung;404;
https://academy.charismaschmiede.de;Academy;404;
http://moodle.adam-von-trott-schule.de;Adam-von-Trott-Schule-Moodle;404;e.maier@avtsontra.de,b.giesen@avtsontra.de
https://ac-heiligenhaus.lms.schulon.org;Startseite | Adolf-Clarenbach-Schule;404;
http://194.164.196.179/moodle;Startseite | Lern-Management-System;404;
https://moodle.kanu-akademie.de;DKV Kanu Akademie;404;akademie@kanu.de
https://moodle4.svenstemmler.de;#Sogeht by Sven Stemmler;404;
https://akademie.astendo.de;akademie.astendo.de;404;vertrieb@astendo.de,info@astendo.de
https://4cyber.app;Startseite | 4Cyber - Smart management of information security.;404;info@datenbeschuetzerin.de
https://moodle.aktivschule.de;Startseite | Aktiv-Schule-Emleben;404;
https://akd-ekbo-moodle.de;Amt für kirchliche Dienste (AKD) – Moodle;404;
https://moodle.dhg-rw.de;Startseite | AMG/DHG;404;
https://alpha-schule-online.de;Startseite | Alpha-Schule-Online;404;
https://bbs-bass.moodle-nds.de;Startseite | bbs_bass;404;
https://ich-lerne-feuerwehr.de;Ausbildung in der Feuerwehr;404;
https://ats-personalexpertise.edvkunde.de;Startseite | ats-personalexpertise;404;
https://bentholeum.de;Willkommen im Bentholeum !;404;info@bentho-bs.de
https://moodle.arcoworld.de;Arcoworld-Moodle;404;
https://akademie.manipulationsabwehr.de;Startseite | Erkennen - durchschauen - verstehen;404;
https://bbs2nom.moodle-nds.de;Startseite | BBS2NOM;404;buero@bbs2-northeim.de
https://bep-connect.de;Startseite | BEP-Connect;500;bep-fachberatung@ifp.bayern.de,bep_hessen@ifp.bayern.de
https://akademie.boardway.org;boardway Akademie;404;
https://moodle.ak-internet.de;AKI - Lernwelt;404;
https://unity.amram-community.de;Startseite | AMRAM;404;
https://bayika-lernplattform.de;Startseite | Home;404;akademie@bayika.deBayerische,ncheninfo@bayika.dewww.bayika.de,akademie@bayika.de,info@bayika.de
https://akzept-online.lernerfolg.info;Startseite | Home;500;
https://bvs.moodleschule.de;Startseite | Bertha-von-Suttner-Gesamtschule Dormagen;404;
https://becoachacademy-online.com;BeCoach Academy Online Learning;404;contact@becoach-academy.com
http://intranet-josephinum.de;Bischöfliche Gymnasium Josephinum - Intranet;404;
https://wuppertal.abitur-online.net;Startseite | Abitur-online - WBK Wuppertal;404;antje.hantel@wbk-wuppertal.de,stefanie.schoenenstein@wbk-wuppertal.de,stefanie.schumacher@wbk-wuppertal.de,maria.kapaltsidou@wbk-wuppertal.de,christoph.scheuss@wbk-wuppertal.de,eva.simon@wbk-wuppertal.de
https://portal.beat-learning.info;Berufliche Bildung erneuern für die automobile Transformation;404;stefanie.seitz@ikts.fraunhofer.de,daniela.klaus@ikts.fraunhofer.de,jhuenniger@automotive-thueringen.de,johanna.sittel@uni-jena.de,thomas.rehfeldt@uni-jena.de
https://moodle.virtual-acoustics.org;A digital and interactive learning platform;404;
http://dora-klindt.de;Amelie Petersen Schulforum;404;
https://boeckler-schule.moodlecloud.com;MoodleCloud - Site is currently suspended;404;
https://learning.alshamcenter.net;الصفحة الرئيسية | مركز الشام;404;alhussein@alshamcenter.de
http://107.152.38.231/moodle;Hier können Sie sich anmelden | Klavierhof;404;
https://503149.logineonrw-lms.de;Startseite | ZfsL Aachen;500;
https://bbs-brinkstrasse.moodle-nds.de;Startseite | BBS Brinkstraße;404;
https://phytomedizin-akademie.de;Akademie für Phytomedizin Hamburg;404;info@phytomedizin-akademie.de
https://hochsensibel-akademie.de;Startseite | Akademie für Hochsensibilität;404;post@sensibilitaet-macht-stark.de
https://moodle.archimedes-gs.de;Startseite | Archimedes Grundschule;404;
https://moodle25.kfz-aufgaben.de;E-Learning Fahrzeugtechnik;404;
https://moodle.pflegeschule-mosbach.de;Startseite | Home;500;
https://170768.logineonrw-lms.de;Startseite | ADBK-Moodle 2023;500;
https://kurs.bibel-fuer-alle.net;Bibel für alle;404;
https://metall-aufgaben.de;Startseite | BS1;404;kontakt@metall-aufgaben.de
https://academy.busads.de;BusAds Academy;404;
https://campus.bfw.de;Startseite | bfw-Campus;500;campus@bfw.de
https://arbeitsheft.online;Startseite | arbeitsheft.online;404;
https://byak-akademie.de;Akademie der Bayerischen Architektenkammer;404;
https://www.xn--brgerlabor-9db.de;Bürgerlabor;404;
https://www.buddhistisches-onlinestudium.de;Startseite | Buddhistisches Online Studium;404;info@buddhistisches-onlinestudium.de
https://moodle.gymrhein.de;Moodle - Gymnasium Rheindahlen;404;
https://akademie-onlineplattform.de;Akademie der RUB;404;info@akademie.rub.de,blanca.wannoeffel@akademie.ruhr-uni-bochum.de
https://bluecloud.academy;Welcome to the Bluecloud Academy!;404;Bluecloud@gmx.org
https://moodle.blueakademie.de;Home | BlueAkademie;404;info@blueakademie.de,contact@blueakademie.de
https://moodle.brmi-akademie.de;Startseite | brmi-Akademie;404;
http://www.dbs-postgraduierung.de;dbs-Postgraduierung;404;postgrad-anmeldung@dbs-ev.de
https://bvl-unterricht.de;BVL-Unterricht;404;
https://dsb-kreiskleve.schulon.org;Startseite | dsb-kreiskleve;404;Datenschutz-Schulen@kreis-kleve.de
https://www.das-onlinecoaching.de; ;200;koch@das-onlinecoachng.de,koch@das-onlinecoachng.com,koch@das-onlineCoaching.com,20koch@das-onlinecoachng.de
https://certification.drgellner.de;Zertifizierung;404;
http://moodle.das-lernzentrum.de;Das Lernzentrum LMS;404;
http://schulung.derimker.de;Imkerschulung;404;webmaster@derimker.de
http://moodle.nb-braun.de;Die Moodle-Seite von Norbert Braun;404;
https://learn.clearstone-academy.de;Clearstone Academy;404;
https://moodle.wiegrefe.info;Web Content Management Systeme;404;
https://moodle.bzg-lippe.de;Startseite | moodle.bzg-lippe.de;404;
https://bsw.education;Startseite | bsw education;404;
https://dvs-beregnung.moodlecloud.com;MoodleCloud - Site is currently suspended;404;
https://www.clincademy.de;Clincademy;404;info@clincademy.de
http://www.latein-onlinekurs.de;E-Latinum Videokurs;404;
https://mconsult-moodle.de;Moodle;404;kontakt@mconsult-info.com
http://moodle.computerschule50plus.net;Computerschule50plus Moodle;404;info@computerschule50plus.net
https://akademie.datenbeschuetzerin.de;Startseite | Akademie;404;
https://akademie.bluechange.de;Blue Change Akademie;404;
https://moodle.djjv.de;Deutscher Ju-Jutsu Verband e.V.;404;jugend@djjv.de
https://courses.ar4steam.eu;AR4STEAM Online Training;404;
https://moodle.tencos.de;Startseite | TENCOS;404;
https://www.dsap-online.com;DSAP Akademie;404;
https://elearning.leb.de;LEB-eLearning;404;
https://159992.logineonrw-lms.de;Startseite | Perspektiven schaffen im Herzen von Tannenbusch;500;
https://189870.logineonrw-lms.de;Startseite | LMS Moodle der AFG;500;
https://diakonielernt.de;Startseite | Home;500;
https://moodle.digihomeschooling.com;Home | Digi-Homeschooling;404;info@digihomeschooling.com
https://elearning.flbk-hamm.de;Friedrich-List-Berufskolleg eLearning;404;
https://moodle.ems-berufskolleg.de;Startseite | Moodle@Ems-BK;404;
https://lms.lernen-bohlscheid.de;Startseite | Unser digitales Bildungsangebot für Sie;500;
https://fruehe-demokratiebildung.de;Partizipation und Demokratiebildung in der Kindertagesbetreuung;200;demokratie-kita@paritaet-berlin.de
https://moodle.bzhl.tu-berlin.de;Startseite | BZHL-Moodle;404;
https://demeter.lernerfolg.info;Startseite | Home;500;silke.runge-jelich@demeter.de,lena.vonkleist@demeter.de
https://199291.logineonrw-lms.de;Startseite | Lernmanagementsystem des Landes NRW;500;
https://www.nephrologische-akademie.de;eAkademie;404;
https://academy.dme-gmbh.de;Desalination Institute DME;404;office@dme-gmbh.deWebsite,info@dme-gmbh.de,office@dme-gmbh.de
https://kurs.deutschprofi.de;Startseite | Deutschprofi;404;
https://learning.noack.digital;Startseite | Digital-Learning;404;
https://edu.bbsv-education.de;eLearning-Plattform des BBSV;404;info@bbsv.de
https://113591.logineonrw-lms.de;Startseite | Lernmanagementsystem des Landes NRW;500;
https://emros.moodle-nds.de;Startseite | Moodle;404;
https://elearning.caesarsystems.de;eLearning by CaesarSystems;404;
